feature,importance
NET_RATING_DIFF_10,149
OFF_RATING_DIFF_10,77
EFG_PCT_DIFF_10,71
FTR_DIFF_5,71
AWAY_NET_RATING_10,65
TOV_PCT_DIFF_10,62
FTR_DIFF_10,55
IS_HOME,54
DEF_RATING_DIFF_5,53
NET_RATING_DIFF_5,51
EFG_PCT_DIFF_5,51
HOME_NET_RATING_10,49
TOV_PCT_DIFF_5,47
DEF_RATING_DIFF_10,45
WIN_PCT_DIFF_10,38
OFF_RATING_DIFF_5,33
WIN_PCT_DIFF_5,31
OREB_DIFF_10,31
OREB_DIFF_5,30
AWAY_WIN_PCT_10,28
HOME_WIN_PCT_10,19
